SMILES,"T,K",Solubility,Solvent,SMILES_Solvent,Source
COC(=O)[C@@H](N)CS.Cl,303.15,0.1268,methanol,CO,10.1021/acs.jced.0c00795
CC1(C)NC(=O)NC1=O,303.15,0.09932,methanol,CO,10.1021/acs.jced.9b01020
NS(=O)(=O)Cc1noc2ccccc12,303.15,0.004211,methanol,CO,10.1021/acs.jced.0c00249
CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,303.15,0.000261,methanol,CO,10.1021/acs.jced.0c00254
O=Cc1cc(Br)c(O)c(Br)c1,303.15,0.003954,methanol,CO,10.1021/acs.jced.0c00376
CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,303.15,0.000403,methanol,CO,10.1021/acs.jced.0c00301
CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,303.15,0.01692,methanol,CO,10.1021/acs.jced.0c00127
O=C(Nc1ccccc1)c1ccccc1,303.15,0.005787,methanol,CO,10.1021/acs.jced.0c00167
Nc1ccc(S(N)(=O)=O)cc1,303.15,0.028565,methanol,CO,10.1021/acs.jced.9b00411
O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,303.15,0.0018,methanol,CO,10.1021/acs.jced.0c00558
O=C1CC[C@@H](C(=O)N2CSC[C@H]2C(=O)O)N1,303.15,0.002574,methanol,CO,10.1021/acs.jced.0c00616
Cc1cc(Cl)cc(C(=O)O)c1N,303.15,0.003747,methanol,CO,10.1021/acs.jced.1c00047
Cc1c(N)cccc1C(=O)O,303.15,0.008436,methanol,CO,10.1021/acs.jced.1c00109
N=C(N)NCCC[C@H](N)C(=O)O.O=C1CC[C@@H](C(=O)O)N1,303.15,0.000911,methanol,CO,10.1021/acs.jced.0c01074
c1ccc(-n2c(-c3cc(-c4nc5ccccc5n4-c4ccccc4)cc(-c4nc5ccccc5n4-c4ccccc4)c3)nc3ccccc32)cc1,303.15,0.00029,methanol,CO,10.1021/acs.jced.1c00163
CC(=O)Nc1ccccc1[N+](=O)[O-],303.15,0.03939,methanol,CO,10.1021/acs.jced.1c00037
CSCCC(NC(C)=O)C(=O)O,303.15,0.14101,methanol,CO,10.1021/acs.jced.1c00064
O=C(O)c1ccc(CO)cc1,303.15,0.04725,methanol,CO,10.1021/acs.jced.1c00035
Nc1cccc(S(=O)(=O)c2cccc(N)c2)c1,303.15,0.00604,methanol,CO,10.1021/acs.jced.1c00062
O=C(O)[C@@H]1C[C@@H](O)CN1,303.15,0.000253,methanol,CO,10.1021/acs.jced.0c00794
O=Cc1cc(C=O)cc(C=O)c1,303.15,0.008576,methanol,CO,10.1021/acs.jced.0c00776
OCC(O)COc1ccc(Cl)cc1,303.15,0.1476,methanol,CO,10.1021/acs.jced.0c00900
COc1cc2nc(Cl)nc(N)c2cc1OC,303.15,0.0003776,methanol,CO,10.1021/acs.jced.0c00506
O=C(O)[C@@H]1CSCN1,303.15,0.000112,methanol,CO,10.1021/acs.jced.0c00996
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,303.15,0.00023024,methanol,CO,10.1021/acs.jced.0c00803
c1ccc2[nH]c(-c3cscn3)nc2c1,303.15,0.002109,methanol,CO,10.1021/acs.jced.0c00724
Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,303.15,0.02597,methanol,CO,10.1021/acs.jced.0c00655
c1cnc2[nH]ccc2c1,303.15,0.2927,methanol,CO,10.1021/acs.jced.0c00128
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,303.15,0.00256,methanol,CO,10.1021/acs.jced.0c00040
CC1=NN(c2ccccc2)C(=O)C1,303.15,0.040185,methanol,CO,10.1021/acs.jced.0c00290
Cl.N=C(N=C(N)N)N1CCOCC1,303.15,0.026788,methanol,CO,10.1021/acs.jced.0c00015
O=C(O)CNCc1ccccc1,303.15,0.003355,methanol,CO,10.1021/acs.jced.1c00050
O=C(O)c1cccc([N+](=O)[O-])c1O,303.15,0.0888,methanol,CO,10.1021/acs.jced.1c00259
Cl.N[C@@H](Cc1ccccc1)C(=O)OCc1ccccc1,303.15,0.022278,methanol,CO,10.1021/acs.jced.1c00239
O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,303.15,0.001407,methanol,CO,10.1021/acs.jced.1c00302
CCOC(=O)[C@@H]1CSCN1.Cl,303.15,0.083468,methanol,CO,10.1021/acs.jced.1c00079
CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)O,303.15,0.195917,methanol,CO,10.1021/acs.jced.1c00201
O=C(O)c1cccc(C(=O)O)n1,303.15,0.011805,methanol,CO,10.1021/acs.jced.1c00200
CNC(=O)c1cc(Oc2ccc(N)cc2)ccn1,303.15,0.03783,methanol,CO,10.1021/acs.jced.1c00232
Nc1cccc(C(=O)O)c1,303.15,0.01658,methanol,CO,10.1021/acs.jced.1c00247
O=C(N[C@H](C(=O)O)c1ccccc1)OCc1ccccc1,303.15,0.079415,methanol,CO,10.1021/acs.jced.1c00240
O=C1N=c2ccccc2=N1,303.15,0.0041523,methanol,CO,10.1021/acs.jced.0c00165
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,303.15,0.2119,methanol,CO,10.1021/acs.jced.0c00166
O=c1cc(CBr)c2ccccc2[nH]1,303.15,0.000234,methanol,CO,10.1021/acs.jced.0c00303
OCc1ccccc1O[C@@H]1OC(CO)[C@@H](O)[C@@H](O)C1O,303.15,0.00286677,methanol,CO,10.1021/acs.jced.0c00332
OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,303.15,0.015078,methanol,CO,10.1021/acs.jced.0c00353
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1.Cl,303.15,0.013,methanol,CO,10.1021/acs.jced.1c00432
COc1cc2c(cc1OC)C(=O)CC2,303.15,0.031691,methanol,CO,10.1021/acs.jced.1c00040
O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,303.15,4.959e-05,methanol,CO,10.1021/acs.jced.0c01067
CC(=O)NCC(=O)O,303.15,0.009522,methanol,CO,10.1021/acs.jced.0c00983
CC(=O)N1CCC[C@H]1C(=O)O,303.15,0.20965,methanol,CO,10.1021/acs.jced.1c00032
NC1CCSC1=O,303.15,0.022611,methanol,CO,10.1021/acs.jced.0c01089
CCCOC(=O)c1ccc(O)cc1,303.15,0.2033,methanol,CO,10.1021/acs.jced.0c00584
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl,303.15,0.06887,methanol,CO,10.1021/acs.jced.0c00513
C=CC(=O)NC(C)(C)CS(=O)(=O)O,303.15,0.01627,methanol,CO,10.1021/acs.jced.0c00578
O=C(O)Cc1ccccc1[N+](=O)[O-],303.15,0.06727,methanol,CO,10.1021/acs.jced.0c00543
O=[N+]([O-])N(CCO)CCO.O=[N+]([O-])O.O=[N+]([O-])O,303.15,0.01263,methanol,CO,10.1021/acs.jced.0c00211
O=C(O)Cc1ccc([N+](=O)[O-])cc1,303.15,0.1946,methanol,CO,10.1021/acs.jced.0c00182
N[C@@H](CS)C(=O)O,303.15,0.002191,methanol,CO,10.1021/acs.jced.0c00031
Oc1ccc(OCc2ccccc2)cc1,303.15,0.09076,methanol,CO,10.1021/acs.jced.9b00817
O=C([O-])/C=C/C(=O)O.[Na+],303.15,0.0004949,methanol,CO,10.1021/acs.jced.9b01203
O=c1[nH]c2ccccc2c(=O)o1,303.15,0.002431,methanol,CO,10.1021/acs.jced.9b01164
O=C[C@H](O)[C@H](O)[C@H](O)CO,303.15,0.1076093,methanol,CO,10.1021/acs.jced.0c00009
Oc1c(Br)cc(Br)c2cccnc12,303.15,0.0001309,methanol,CO,10.1021/acs.jced.9b01190
Cc1c(Br)cccc1C(=O)O,303.15,0.04794,methanol,CO,10.1021/acs.jced.9b01007
CC(=O)N[C@@H](CC(C)C)C(=O)O,303.15,0.05138,methanol,CO,10.1021/acs.jced.9b01151
CN(C)Cc1c[nH]c2ccccc12,303.15,0.04738,methanol,CO,10.1021/acs.jced.9b00911
CN(C)Cc1c[nH]c2ccccc12,303.15,0.0056679,methanol,CO,10.1021/acs.jced.9b01063
C[C@H](N)C(=O)O,303.15,0.00049,methanol,CO,10.1021/acs.jced.9b00743
COc1cc([N+](=O)[O-])ccc1N,303.15,0.005649,methanol,CO,10.1021/acs.jced.9b00991
O=Cc1ccc(O)c(Br)c1,303.15,0.01213,methanol,CO,10.1021/acs.jced.9b01004
CCCc1ncc(C[n+]2ccccc2C)c(N)n1.Cl.[Cl-],303.15,0.001,methanol,CO,10.1021/acs.jced.9b00999
Nc1ccc(Cl)cc1[N+](=O)[O-],303.15,0.03399,methanol,CO,10.1021/acs.jced.9b00919
O=S(=O)([O-])c1cccc2c(S(=O)(=O)[O-])cccc12.[Na+].[Na+],303.15,0.0002511,methanol,CO,10.1021/acs.jced.9b00029
O=C(O)c1cccnc1Cl,303.15,0.006965,methanol,CO,10.1021/acs.jced.9b00661
O=C(O)[C@@H]1CCCN1,303.15,0.069556,methanol,CO,10.1021/acs.jced.9b00802
OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,303.15,0.0143434,methanol,CO,10.1021/acs.jced.9b00703
NC(N)=NC(N)=NCCc1ccccc1,303.15,0.005324,methanol,CO,10.1021/acs.jced.9b00844
CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2OCN4C)CC1,303.15,0.0002492,methanol,CO,10.1021/acs.jced.9b00490
Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,303.15,0.001818,methanol,CO,10.1021/acs.jced.9b00778
CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4C[C@H]3C[C@@H]12,303.15,0.0002584,methanol,CO,10.1021/acs.jced.9b00693
N[C@H](Cc1c[nH]cn1)C(=O)O,303.15,0.0003301,methanol,CO,10.1021/acs.jced.9b00659
O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1,303.15,0.0007499,methanol,CO,10.1021/acs.jced.8b00632
O=P(O)(O)c1ccccc1,303.15,0.34665,methanol,CO,10.1021/acs.jced.9b00362
O=[N+]([O-])c1ncccc1O,303.15,0.206,methanol,CO,10.1021/acs.jced.9b00564
COC(=O)c1ccc(C(=O)OC)cc1,303.15,0.0021457,methanol,CO,10.1021/acs.jced.9b00658
N=C(N)NC(N)=S,303.15,0.01047,methanol,CO,10.1021/acs.jced.9b00458
CC1(C)COP(=O)(Oc2cccc(OP3(=O)OCC(C)(C)CO3)c2)OC1,303.15,0.00543,methanol,CO,10.1021/acs.jced.7b00695
O=C(O)C=CC(=O)O.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,303.15,0.000879,methanol,CO,10.1021/acs.jced.7b00518
O=C1C=CC(=O)N1c1ccccc1Br,303.15,0.03561,methanol,CO,10.1021/acs.jced.9b00560
C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N,303.15,0.00384,methanol,CO,10.1021/acs.jced.9b00696
c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,303.15,9.66e-05,methanol,CO,10.1021/acs.jced.9b00432
N[C@@H](CO)C(=O)O,303.15,5.5e-05,methanol,CO,10.1021/acs.jced.9b00460
